emoticon,cnt,emoji,name,group,sub_group
_smiling_face_,1759,☺️,smiling face,Smileys & Emotion,face-affection
_smirking_face_,1712,😏,smirking face,Smileys & Emotion,face-neutral-skeptical
_smiling_face_with_hearts_,1644,🥰,smiling face with hearts,Smileys & Emotion,face-affection
_clapping_hands_light_skin_tone_,1605,👏🏻,clapping hands: light skin tone,People & Body,hands
_grinning_face_with_smiling_eyes_,1509,😄,grinning face with smiling eyes,Smileys & Emotion,face-smiling
_unamused_face_,1422,😒,unamused face,Smileys & Emotion,face-neutral-skeptical
_partying_face_,1410,🥳,partying face,Smileys & Emotion,face-hat
_crying_face_,1324,😢,crying face,Smileys & Emotion,face-concerned
_backhand_index_pointing_right_,1191,👉,backhand index pointing right,People & Body,hand-single-finger
_registered_,1176,®️,registered,Symbols,other-symbol
_star-struck_,1073,🤩,star-struck,Smileys & Emotion,face-affection
_heart_suit_,1070,♥️,heart suit,Activities,game
_folded_hands_light_skin_tone_,1052,🙏🏻,folded hands: light skin tone,People & Body,hands
_Turkey_,1047,🇹🇷,flag: Turkey,Flags,country-flag
_dog_face_,1039,🐶,dog face,Animals & Nature,animal-mammal
_flexed_biceps_,1024,💪,flexed biceps,People & Body,body-parts
_cat_face_,1020,🐱,cat face,Animals & Nature,animal-mammal
_party_popper_,1003,🎉,party popper,Activities,event
_angry_face_,937,😠,angry face,Smileys & Emotion,face-negative
_two_hearts_,924,💕,two hearts,Smileys & Emotion,emotion
_relieved_face_,872,😌,relieved face,Smileys & Emotion,face-sleepy
_grinning_face_with_big_eyes_,847,😃,grinning face with big eyes,Smileys & Emotion,face-smiling
_yellow_heart_,843,💛,yellow heart,Smileys & Emotion,emotion
_thumbs_up_light_skin_tone_,832,👍🏻,thumbs up: light skin tone,People & Body,hand-fingers-closed
_upside-down_face_,815,🙃,upside-down face,Smileys & Emotion,face-smiling
_face_with_symbols_on_mouth_,800,🤬,face with symbols on mouth,Smileys & Emotion,face-negative
_disappointed_face_,764,😞,disappointed face,Smileys & Emotion,face-concerned
_thumbs_down_,761,👎,thumbs down,People & Body,hand-fingers-closed
_confused_face_,760,😕,confused face,Smileys & Emotion,face-concerned
_grimacing_face_,756,😬,grimacing face,Smileys & Emotion,face-neutral-skeptical
_smiling_face_with_halo_,754,😇,smiling face with halo,Smileys & Emotion,face-smiling
_face_blowing_a_kiss_,752,😘,face blowing a kiss,Smileys & Emotion,face-affection
_cherry_blossom_,741,🌸,cherry blossom,Animals & Nature,plant-flower
_victory_hand_,727,✌️,victory hand,People & Body,hand-fingers-partial
_eyes_,705,👀,eyes,People & Body,body-parts
_face_savoring_food_,699,😋,face savoring food,Smileys & Emotion,face-tongue
_see-no-evil_monkey_,681,🙈,see-no-evil monkey,Smileys & Emotion,monkey-face
_OK_hand_,653,👌,OK hand,People & Body,hand-fingers-partial
_face_with_hand_over_mouth_,653,🤭,face with hand over mouth,Smileys & Emotion,face-hand
_sparkles_,651,✨,sparkles,Activities,event
_green_heart_,614,💚,green heart,Smileys & Emotion,emotion
_black_heart_,572,🖤,black heart,Smileys & Emotion,emotion
_clapping_hands_medium-light_skin_tone_,568,👏🏼,clapping hands: medium-light skin tone,People & Body,hands
_trophy_,556,🏆,trophy,Activities,award-medal
_herb_,554,🌿,herb,Animals & Nature,plant-other
_hamburger_,545,🍔,hamburger,Food & Drink,food-prepared
_face_screaming_in_fear_,518,😱,face screaming in fear,Smileys & Emotion,face-concerned
_expressionless_face_,516,😑,expressionless face,Smileys & Emotion,face-neutral-skeptical
_eagle_,484,🦅,eagle,Animals & Nature,animal-bird
_sparkling_heart_,480,💖,sparkling heart,Smileys & Emotion,emotion
_woman_facepalming_light_skin_tone_,471,🤦🏻‍♀️,woman facepalming: light skin tone,People & Body,person-gesture
_zany_face_,466,🤪,zany face,Smileys & Emotion,face-tongue
_wrapped_gift_,461,🎁,wrapped gift,Activities,event
_heart_exclamation_,452,❣️,heart exclamation,Smileys & Emotion,emotion
_oncoming_fist_,446,👊,oncoming fist,People & Body,hand-fingers-closed
_clapping_hands_medium_skin_tone_,442,👏🏽,clapping hands: medium skin tone,People & Body,hands
_face_with_steam_from_nose_,440,😤,face with steam from nose,Smileys & Emotion,face-negative
_glowing_star_,436,🌟,glowing star,Travel & Places,sky & weather
_grinning_squinting_face_,434,😆,grinning squinting face,Smileys & Emotion,face-smiling
_smiling_face_with_horns_,424,😈,smiling face with horns,Smileys & Emotion,face-negative
_backhand_index_pointing_right_light_skin_tone_,421,👉🏻,backhand index pointing right: light skin tone,People & Body,hand-single-finger
_frowning_face_,421,☹️,frowning face,Smileys & Emotion,face-concerned
_smiling_cat_with_heart-eyes_,419,😻,smiling cat with heart-eyes,Smileys & Emotion,cat-face
_drooling_face_,388,🤤,drooling face,Smileys & Emotion,face-sleepy
_flushed_face_,384,😳,flushed face,Smileys & Emotion,face-concerned
_revolving_hearts_,383,💞,revolving hearts,Smileys & Emotion,emotion
_sun_,379,☀️,sun,Travel & Places,sky & weather
_popcorn_,377,🍿,popcorn,Food & Drink,food-prepared
_woman_dancing_,376,💃,woman dancing,People & Body,person-activity
_sad_but_relieved_face_,375,😥,sad but relieved face,Smileys & Emotion,face-concerned
_winking_face_with_tongue_,361,😜,winking face with tongue,Smileys & Emotion,face-tongue
_growing_heart_,357,💗,growing heart,Smileys & Emotion,emotion
_television_,355,📺,television,Objects,light & video
_red_exclamation_mark_,353,❗,red exclamation mark,Symbols,punctuation
_leaf_fluttering_in_wind_,346,🍃,leaf fluttering in wind,Animals & Nature,plant-other
_balloon_,345,🎈,balloon,Activities,event
_nerd_face_,344,🤓,nerd face,Smileys & Emotion,face-glasses
_broken_heart_,340,💔,broken heart,Smileys & Emotion,emotion
_face_with_monocle_,320,🧐,face with monocle,Smileys & Emotion,face-glasses
_OK_hand_light_skin_tone_,319,👌🏻,OK hand: light skin tone,People & Body,hand-fingers-partial
_woman_facepalming_,314,🤦‍♀️,woman facepalming,People & Body,person-gesture
_check_mark_button_,312,✅,check mark button,Symbols,other-symbol
_face_with_raised_eyebrow_,310,🤨,face with raised eyebrow,Smileys & Emotion,face-neutral-skeptical
_crown_,309,👑,crown,Objects,clothing
_face_vomiting_,307,🤮,face vomiting,Smileys & Emotion,face-unwell
_high_voltage_,307,⚡,high voltage,Travel & Places,sky & weather
_lipstick_,300,💄,lipstick,Objects,clothing
_orange_heart_,300,🧡,orange heart,Smileys & Emotion,emotion
_thumbs_up_medium-light_skin_tone_,298,👍🏼,thumbs up: medium-light skin tone,People & Body,hand-fingers-closed
_weary_face_,294,😩,weary face,Smileys & Emotion,face-concerned
_four_leaf_clover_,292,🍀,four leaf clover,Animals & Nature,plant-other
_heart_with_arrow_,287,💘,heart with arrow,Smileys & Emotion,emotion
_kiss_mark_,283,💋,kiss mark,Smileys & Emotion,emotion
_stadium_,279,🏟️,stadium,Travel & Places,place-building
_star_,272,⭐,star,Travel & Places,sky & weather
_pushpin_,269,📌,pushpin,Objects,office
_sun_with_face_,269,🌞,sun with face,Travel & Places,sky & weather
_collision_,267,💥,collision,Smileys & Emotion,emotion
_poultry_leg_,265,🍗,poultry leg,Food & Drink,food-prepared
_folded_hands_medium-light_skin_tone_,262,🙏🏼,folded hands: medium-light skin tone,People & Body,hands
_dizzy_,258,💫,dizzy,Smileys & Emotion,emotion
_sleepy_face_,257,😪,sleepy face,Smileys & Emotion,face-sleepy
_check_mark_,256,✔️,check mark,Symbols,other-symbol
_soccer_ball_,250,⚽,soccer ball,Activities,sport
_neutral_face_,246,😐,neutral face,Smileys & Emotion,face-neutral-skeptical
_beating_heart_,244,💓,beating heart,Smileys & Emotion,emotion
_thumbs_down_light_skin_tone_,243,👎🏻,thumbs down: light skin tone,People & Body,hand-fingers-closed
_backhand_index_pointing_down_light_skin_tone_,242,👇🏻,backhand index pointing down: light skin tone,People & Body,hand-single-finger
_double_exclamation_mark_,239,‼️,double exclamation mark,Symbols,punctuation
_persevering_face_,229,😣,persevering face,Smileys & Emotion,face-concerned
_woman_dancing_light_skin_tone_,228,💃🏻,woman dancing: light skin tone,People & Body,person-activity
_rose_,227,🌹,rose,Animals & Nature,plant-flower
_waving_hand_,226,👋,waving hand,People & Body,hand-fingers-open
_exploding_head_,224,🤯,exploding head,Smileys & Emotion,face-unwell
_bouquet_,217,💐,bouquet,Animals & Nature,plant-flower
_candle_,212,🕯️,candle,Objects,light & video
_raising_hands_,208,🙌,raising hands,People & Body,hands
_victory_hand_light_skin_tone_,207,✌🏻,victory hand: light skin tone,People & Body,hand-fingers-partial
_smiling_face_with_tear_,205,🥲,smiling face with tear,Smileys & Emotion,face-affection
_woman_facepalming_medium-light_skin_tone_,199,🤦🏼‍♀️,woman facepalming: medium-light skin tone,People & Body,person-gesture
_confetti_ball_,198,🎊,confetti ball,Activities,event
_hundred_points_,197,💯,hundred points,Smileys & Emotion,emotion
_slightly_frowning_face_,196,🙁,slightly frowning face,Smileys & Emotion,face-concerned
_right_arrow_,189,➡️,right arrow,Symbols,arrow
_woman_shrugging_light_skin_tone_,187,🤷🏻‍♀️,woman shrugging: light skin tone,People & Body,person-gesture
_blossom_,185,🌼,blossom,Animals & Nature,plant-flower
_man_facepalming_light_skin_tone_,184,🤦🏻‍♂️,man facepalming: light skin tone,People & Body,person-gesture
_man_facepalming_,182,🤦‍♂️,man facepalming,People & Body,person-gesture
_sneezing_face_,181,🤧,sneezing face,Smileys & Emotion,face-unwell
_white_heart_,181,🤍,white heart,Smileys & Emotion,emotion
_tired_face_,179,😫,tired face,Smileys & Emotion,face-concerned
_megaphone_,178,📣,megaphone,Objects,sound
_raised_hand_,174,✋,raised hand,People & Body,hand-fingers-open
_cross_mark_,174,❌,cross mark,Symbols,other-symbol
_shushing_face_,171,🤫,shushing face,Smileys & Emotion,face-hand
_snowflake_,169,❄️,snowflake,Travel & Places,sky & weather
_flexed_biceps_light_skin_tone_,166,💪🏻,flexed biceps: light skin tone,People & Body,body-parts
_cigarette_,165,🚬,cigarette,Objects,other-object
_downcast_face_with_sweat_,163,😓,downcast face with sweat,Smileys & Emotion,face-concerned
_nazar_amulet_,163,🧿,nazar amulet,Activities,game
_Christmas_tree_,158,🎄,Christmas tree,Activities,event
_french_fries_,157,🍟,french fries,Food & Drink,food-prepared
_worried_face_,157,😟,worried face,Smileys & Emotion,face-concerned
_backhand_index_pointing_left_,156,👈,backhand index pointing left,People & Body,hand-single-finger
_alarm_clock_,155,⏰,alarm clock,Travel & Places,time
_rainbow_,155,🌈,rainbow,Travel & Places,sky & weather
_face_without_mouth_,155,😶,face without mouth,Smileys & Emotion,face-neutral-skeptical
_hibiscus_,154,🌺,hibiscus,Animals & Nature,plant-flower
_backhand_index_pointing_right_medium-light_skin_tone_,154,👉🏼,backhand index pointing right: medium-light skin tone,People & Body,hand-single-finger
_handshake_,152,🤝,handshake,People & Body,hands
_clapper_board_,152,🎬,clapper board,Objects,light & video
_trade_mark_,150,™️,trade mark,Symbols,other-symbol
_droplet_,150,💧,droplet,Travel & Places,sky & weather
_hot_beverage_,147,☕,hot beverage,Food & Drink,drink
_woozy_face_,143,🥴,woozy face,Smileys & Emotion,face-unwell
_oncoming_fist_light_skin_tone_,143,👊🏻,oncoming fist: light skin tone,People & Body,hand-fingers-closed
_rocket_,141,🚀,rocket,Travel & Places,transport-air
_nauseated_face_,140,🤢,nauseated face,Smileys & Emotion,face-unwell
_shopping_bags_,140,🛍️,shopping bags,Objects,clothing
_woman_shrugging_,139,🤷‍♀️,woman shrugging,People & Body,person-gesture
_squinting_face_with_tongue_,139,😝,squinting face with tongue,Smileys & Emotion,face-tongue
_musical_notes_,133,🎶,musical notes,Objects,music
_down_arrow_,132,⬇️,down arrow,Symbols,arrow
_palms_up_together_,131,🤲,palms up together,People & Body,hands
_face_with_tongue_,127,😛,face with tongue,Smileys & Emotion,face-tongue
_palms_up_together_light_skin_tone_,126,🤲🏻,palms up together: light skin tone,People & Body,hands
_red_question_mark_,124,❓,red question mark,Symbols,punctuation
_film_projector_,124,📽️,film projector,Objects,light & video
_astonished_face_,122,😲,astonished face,Smileys & Emotion,face-concerned
_camera_,122,📷,camera,Objects,light & video
_woman_raising_hand_light_skin_tone_,118,🙋🏻‍♀️,woman raising hand: light skin tone,People & Body,person-gesture
_movie_camera_,118,🎥,movie camera,Objects,light & video
_camera_with_flash_,117,📸,camera with flash,Objects,light & video
_lion_,117,🦁,lion,Animals & Nature,animal-mammal
_lemon_,116,🍋,lemon,Food & Drink,food-fruit
_man_shrugging_,114,🤷‍♂️,man shrugging,People & Body,person-gesture
_face_with_medical_mask_,113,😷,face with medical mask,Smileys & Emotion,face-unwell
_sign_of_the_horns_,112,🤘,sign of the horns,People & Body,hand-fingers-partial
_heart_with_ribbon_,111,💝,heart with ribbon,Smileys & Emotion,emotion
_butterfly_,106,🦋,butterfly,Animals & Nature,animal-bug
_soft_ice_cream_,105,🍦,soft ice cream,Food & Drink,food-sweet
_person_raising_hand_,104,🙋,person raising hand,People & Body,person-gesture
_face_with_open_mouth_,104,😮,face with open mouth,Smileys & Emotion,face-concerned
_raising_hands_medium-light_skin_tone_,102,🙌🏼,raising hands: medium-light skin tone,People & Body,hands
_speak-no-evil_monkey_,102,🙊,speak-no-evil monkey,Smileys & Emotion,monkey-face
_exclamation_question_mark_,101,⁉️,exclamation question mark,Symbols,punctuation
_video_game_,100,🎮,video game,Activities,game
_ogre_,100,👹,ogre,Smileys & Emotion,face-costume
_anxious_face_with_sweat_,99,😰,anxious face with sweat,Smileys & Emotion,face-concerned
_ghost_,98,👻,ghost,Smileys & Emotion,face-costume
_hushed_face_,97,😯,hushed face,Smileys & Emotion,face-concerned
_gem_stone_,97,💎,gem stone,Objects,clothing
_writing_hand_,96,✍️,writing hand,People & Body,hand-prop
_books_,96,📚,books,Objects,book-paper
_eye_,93,👁️,eye,People & Body,body-parts
_man_raising_hand_light_skin_tone_,93,🙋🏻‍♂️,man raising hand: light skin tone,People & Body,person-gesture
_airplane_,91,✈️,airplane,Travel & Places,transport-air
_man_shrugging_light_skin_tone_,90,🤷🏻‍♂️,man shrugging: light skin tone,People & Body,person-gesture
_confounded_face_,90,😖,confounded face,Smileys & Emotion,face-concerned
_birthday_cake_,90,🎂,birthday cake,Food & Drink,food-sweet
_sweat_droplets_,89,💦,sweat droplets,Smileys & Emotion,emotion
_OK_hand_medium-light_skin_tone_,87,👌🏼,OK hand: medium-light skin tone,People & Body,hand-fingers-partial
_person_raising_hand_medium-light_skin_tone_,87,🙋🏼,person raising hand: medium-light skin tone,People & Body,person-gesture
_kissing_face_with_closed_eyes_,87,😚,kissing face with closed eyes,Smileys & Emotion,face-affection
_hand_with_fingers_splayed_,87,🖐️,hand with fingers splayed,People & Body,hand-fingers-open
_person_facepalming_,86,🤦,person facepalming,People & Body,person-gesture
_shopping_cart_,85,🛒,shopping cart,Objects,household
_globe_showing_Europe-Africa_,85,🌍,globe showing Europe-Africa,Travel & Places,place-map
_woman_shrugging_medium-light_skin_tone_,84,🤷🏼‍♀️,woman shrugging: medium-light skin tone,People & Body,person-gesture
_flexed_biceps_medium-light_skin_tone_,84,💪🏼,flexed biceps: medium-light skin tone,People & Body,body-parts
_woman_raising_hand_,83,🙋‍♀️,woman raising hand,People & Body,person-gesture
_kitchen_knife_,83,🔪,kitchen knife,Food & Drink,dishware
_tangerine_,83,🍊,tangerine,Food & Drink,food-fruit
_seedling_,82,🌱,seedling,Animals & Nature,plant-other
_hatching_chick_,82,🐣,hatching chick,Animals & Nature,animal-bird
_artist_palette_,81,🎨,artist palette,Activities,arts & crafts
_house_,81,🏠,house,Travel & Places,place-building
_nail_polish_,79,💅,nail polish,People & Body,hand-prop
_red_apple_,79,🍎,red apple,Food & Drink,food-fruit
_thumbs_down_medium-light_skin_tone_,78,👎🏼,thumbs down: medium-light skin tone,People & Body,hand-fingers-closed
_call_me_hand_,78,🤙,call me hand,People & Body,hand-fingers-partial
_sunflower_,78,🌻,sunflower,Animals & Nature,plant-flower
_crying_cat_,78,😿,crying cat,Smileys & Emotion,cat-face
_raising_hands_light_skin_tone_,77,🙌🏻,raising hands: light skin tone,People & Body,hands
_play_button_,76,▶️,play button,Symbols,av-symbol
_mobile_phone_,75,📱,mobile phone,Objects,phone
_waving_hand_light_skin_tone_,75,👋🏻,waving hand: light skin tone,People & Body,hand-fingers-open
_bomb_,75,💣,bomb,Smileys & Emotion,emotion
_mobile_phone_with_arrow_,75,📲,mobile phone with arrow,Objects,phone
_prohibited_,75,🚫,prohibited,Symbols,warning
_microphone_,75,🎤,microphone,Objects,music
_nail_polish_light_skin_tone_,74,💅🏻,nail polish: light skin tone,People & Body,hand-prop
_victory_hand_medium-light_skin_tone_,74,✌🏼,victory hand: medium-light skin tone,People & Body,hand-fingers-partial
_chequered_flag_,74,🏁,chequered flag,Flags,flag
_pile_of_poo_,73,💩,pile of poo,Smileys & Emotion,face-costume
_beach_with_umbrella_,73,🏖️,beach with umbrella,Travel & Places,place-geographic
_backhand_index_pointing_left_light_skin_tone_,72,👈🏻,backhand index pointing left: light skin tone,People & Body,hand-single-finger
_sleeping_face_,71,😴,sleeping face,Smileys & Emotion,face-sleepy
_woman_dancing_medium-light_skin_tone_,71,💃🏼,woman dancing: medium-light skin tone,People & Body,person-activity
_tulip_,71,🌷,tulip,Animals & Nature,plant-flower
_warning_,70,⚠️,warning,Symbols,warning
_deciduous_tree_,69,🌳,deciduous tree,Animals & Nature,plant-other
_money_bag_,69,💰,money bag,Objects,money
_full_moon_face_,68,🌝,full moon face,Travel & Places,sky & weather
_mouth_,68,👄,mouth,People & Body,body-parts
_water_pistol_,68,🔫,water pistol,Objects,tool
_hourglass_not_done_,66,⏳,hourglass not done,Travel & Places,time
_fearful_face_,66,😨,fearful face,Smileys & Emotion,face-concerned
_fish_,66,🐟,fish,Animals & Nature,animal-marine
_woman_tipping_hand_medium-light_skin_tone_,66,💁🏼‍♀️,woman tipping hand: medium-light skin tone,People & Body,person-gesture
_paw_prints_,66,🐾,paw prints,Animals & Nature,animal-mammal
_police_car_light_,66,🚨,police car light,Travel & Places,transport-ground
_man_dancing_,66,🕺,man dancing,People & Body,person-activity
_zipper-mouth_face_,66,🤐,zipper-mouth face,Smileys & Emotion,face-neutral-skeptical
_automobile_,65,🚗,automobile,Travel & Places,transport-ground
_cat_,65,🐈,cat,Animals & Nature,animal-mammal
_man_raising_hand_,64,🙋‍♂️,man raising hand,People & Body,person-gesture
_person_running_,64,🏃,person running,People & Body,person-activity
_strawberry_,64,🍓,strawberry,Food & Drink,food-fruit
_lollipop_,63,🍭,lollipop,Food & Drink,food-sweet
_money_with_wings_,63,💸,money with wings,Objects,money
_crossed_fingers_,63,🤞,crossed fingers,People & Body,hand-fingers-partial
_face_with_crossed-out_eyes_,62,😵,knocked-out face,Smileys & Emotion,face-unwell
_snake_,61,🐍,snake,Animals & Nature,animal-reptile
_water_wave_,61,🌊,water wave,Travel & Places,sky & weather
_1st_place_medal_,61,🥇,1st place medal,Activities,award-medal
_running_shoe_,61,👟,running shoe,Objects,clothing
_kissing_face_with_smiling_eyes_,61,😙,kissing face with smiling eyes,Smileys & Emotion,face-affection
_folded_hands_medium_skin_tone_,59,🙏🏽,folded hands: medium skin tone,People & Body,hands
_woman_tipping_hand_light_skin_tone_,59,💁🏻‍♀️,woman tipping hand: light skin tone,People & Body,person-gesture
_sign_of_the_horns_light_skin_tone_,59,🤘🏻,sign of the horns: light skin tone,People & Body,hand-fingers-partial
_sheaf_of_rice_,58,🌾,sheaf of rice,Animals & Nature,plant-other
_front-facing_baby_chick_,58,🐥,front-facing baby chick,Animals & Nature,animal-bird
_speaking_head_,58,🗣️,speaking head,People & Body,person-symbol
_bright_button_,58,🔆,bright button,Symbols,av-symbol
_oncoming_fist_medium-light_skin_tone_,58,👊🏼,oncoming fist: medium-light skin tone,People & Body,hand-fingers-closed
_skull_and_crossbones_,57,☠️,skull and crossbones,Smileys & Emotion,face-negative
_globe_showing_Americas_,57,🌎,globe showing Americas,Travel & Places,place-map
_euro_banknote_,57,💶,euro banknote,Objects,money
_candy_,56,🍬,candy,Food & Drink,food-sweet
_round_pushpin_,56,📍,round pushpin,Objects,office
_cherries_,56,🍒,cherries,Food & Drink,food-fruit
_heart_decoration_,56,💟,heart decoration,Smileys & Emotion,emotion
_ribbon_,55,🎀,ribbon,Activities,event
_angry_face_with_horns_,54,👿,angry face with horns,Smileys & Emotion,face-negative
_snowman_,54,☃️,snowman,Travel & Places,sky & weather
_hot_face_,54,🥵,hot face,Smileys & Emotion,face-unwell
_man_facepalming_medium-light_skin_tone_,53,🤦🏼‍♂️,man facepalming: medium-light skin tone,People & Body,person-gesture
_person_tipping_hand_medium-light_skin_tone_,53,💁🏼,person tipping hand: medium-light skin tone,People & Body,person-gesture
_woman_raising_hand_medium-light_skin_tone_,53,🙋🏼‍♀️,woman raising hand: medium-light skin tone,People & Body,person-gesture
_loudspeaker_,53,📢,loudspeaker,Objects,sound
_backhand_index_pointing_down_medium-light_skin_tone_,53,👇🏼,backhand index pointing down: medium-light skin tone,People & Body,hand-single-finger
_woman_health_worker_,52,👩‍⚕️,woman health worker,People & Body,person-role
_magnifying_glass_tilted_right_,52,🔎,magnifying glass tilted right,Objects,light & video
_package_,52,📦,package,Objects,mail
_chocolate_bar_,52,🍫,chocolate bar,Food & Drink,food-sweet
_calendar_,51,📅,calendar,Objects,office
_red_circle_,50,🔴,red circle,Symbols,geometric
_cowboy_hat_face_,50,🤠,cowboy hat face,Smileys & Emotion,face-hat
_love-you_gesture_,50,🤟,love-you gesture,People & Body,hand-fingers-partial
_musical_score_,50,🎼,musical score,Objects,music
_shallow_pan_of_food_,49,🥘,shallow pan of food,Food & Drink,food-prepared
_raised_hand_light_skin_tone_,49,✋🏻,raised hand: light skin tone,People & Body,hand-fingers-open
_horse_,49,🐎,horse,Animals & Nature,animal-mammal
_clown_face_,49,🤡,clown face,Smileys & Emotion,face-costume
_cup_with_straw_,49,🥤,cup with straw,Food & Drink,drink
_skull_,49,💀,skull,Smileys & Emotion,face-negative
_index_pointing_up_,49,☝️,index pointing up,People & Body,hand-single-finger
_dollar_banknote_,48,💵,dollar banknote,Objects,money
_robot_,48,🤖,robot,Smileys & Emotion,face-costume
_palm_tree_,48,🌴,palm tree,Animals & Nature,plant-other
_unicorn_,47,🦄,unicorn,Animals & Nature,animal-mammal
_crossed_swords_,47,⚔️,crossed swords,Objects,tool
_woman_running_,47,🏃‍♀️,woman running,People & Body,person-activity
_woman_facepalming_medium_skin_tone_,45,🤦🏽‍♀️,woman facepalming: medium skin tone,People & Body,person-gesture
_glasses_,45,👓,glasses,Objects,clothing
_laptop_,45,💻,laptop,Objects,computer
_fallen_leaf_,45,🍂,fallen leaf,Animals & Nature,plant-other
_shamrock_,45,☘️,shamrock,Animals & Nature,plant-other
_pizza_,45,🍕,pizza,Food & Drink,food-prepared
_cookie_,44,🍪,cookie,Food & Drink,food-sweet
_cat_with_tears_of_joy_,44,😹,cat with tears of joy,Smileys & Emotion,cat-face
_telephone_receiver_,44,📞,telephone receiver,Objects,phone
_call_me_hand_light_skin_tone_,44,🤙🏻,call me hand: light skin tone,People & Body,hand-fingers-partial
_clinking_glasses_,44,🥂,clinking glasses,Food & Drink,drink
_man_health_worker_,44,👨‍⚕️,man health worker,People & Body,person-role
_high-heeled_shoe_,44,👠,high-heeled shoe,Objects,clothing
_thumbs_up_medium_skin_tone_,43,👍🏽,thumbs up: medium skin tone,People & Body,hand-fingers-closed
_milky_way_,43,🌌,milky way,Travel & Places,sky & weather
_cloud_,43,☁️,cloud,Travel & Places,sky & weather
_love_letter_,43,💌,love letter,Smileys & Emotion,emotion
_bell_,43,🔔,bell,Objects,sound
_raised_fist_,42,✊,raised fist,People & Body,hand-fingers-closed
_sport_utility_vehicle_,42,🚙,sport utility vehicle,Travel & Places,transport-ground
_couple_with_heart_,42,💑,couple with heart,People & Body,family
_money-mouth_face_,41,🤑,money-mouth face,Smileys & Emotion,face-tongue
_ring_,41,💍,ring,Objects,clothing
_man_running_,41,🏃‍♂️,man running,People & Body,person-activity
_maple_leaf_,41,🍁,maple leaf,Animals & Nature,plant-other
_volleyball_,41,🏐,volleyball,Activities,sport
_recycling_symbol_,41,♻️,recycling symbol,Symbols,other-symbol
_lady_beetle_,40,🐞,lady beetle,Animals & Nature,animal-bug
_headphone_,40,🎧,headphone,Objects,music
_shower_,40,🚿,shower,Objects,household
_honeybee_,40,🐝,honeybee,Animals & Nature,animal-bug
_pot_of_food_,39,🍲,pot of food,Food & Drink,food-prepared
_crescent_moon_,39,🌙,crescent moon,Travel & Places,sky & weather
_woman_gesturing_OK_light_skin_tone_,39,🙆🏻‍♀️,woman gesturing OK: light skin tone,People & Body,person-gesture
_oncoming_automobile_,39,🚘,oncoming automobile,Travel & Places,transport-ground
_musical_note_,39,🎵,musical note,Objects,music
_evergreen_tree_,39,🌲,evergreen tree,Animals & Nature,plant-other
_clinking_beer_mugs_,38,🍻,clinking beer mugs,Food & Drink,drink
_grapes_,38,🍇,grapes,Food & Drink,food-fruit
_woman_dancing_medium_skin_tone_,38,💃🏽,woman dancing: medium skin tone,People & Body,person-activity
_cold_face_,37,🥶,cold face,Smileys & Emotion,face-unwell
_middle_finger_,37,🖕,middle finger,People & Body,hand-single-finger
_watermelon_,37,🍉,watermelon,Food & Drink,food-fruit
_tongue_,37,👅,tongue,People & Body,body-parts
_clipboard_,37,📋,clipboard,Objects,office
_woman_fairy_,37,🧚‍♀️,woman fairy,People & Body,person-fantasy
_battery_,36,🔋,battery,Objects,computer
_alien_,36,👽,alien,Smileys & Emotion,face-costume
_basketball_,36,🏀,basketball,Activities,sport
_dashing_away_,35,💨,dashing away,Smileys & Emotion,emotion
